#timestamp;nb_simulations;avg_children;max_depth;avg_depth;median_depth
1521694735.87485;1;14.815;2;2.0;2.0
1521694735.939986;2;17.778;2;2.0;2.0
1521694736.0070882;3;19.048;2;2.0;2.0
1521694736.085662;4;18.056;2;2.0;2.0
1521694736.139306;5;17.284;2;2.0;2.0
1521694736.202793;6;16.667;2;2.0;2.0
1521694736.27582;7;16.162;2;2.0;2.0
1521694736.338927;8;15.741;2;2.0;2.0
1521694736.406585;9;15.385;2;2.0;2.0
1521694736.477267;10;15.079;2;2.0;2.0
1521694736.545242;11;14.815;2;2.0;2.0
1521694736.625249;12;14.583;2;2.0;2.0
1521694736.693314;13;14.379;2;2.0;2.0
1521694736.762591;14;14.198;2;2.0;2.0
1521694736.8486888;15;14.035;2;2.0;2.0
1521694736.913656;16;13.889;2;2.0;2.0
1521694736.98795;17;13.757;2;2.0;2.0
1521694737.07202;18;13.636;2;2.0;2.0
1521694737.140502;19;13.527;2;2.0;2.0
1521694737.212258;20;13.426;2;2.0;2.0
1521694737.283325;21;13.333;2;2.0;2.0
1521694737.347301;22;13.248;2;2.0;2.0
1521694737.451645;23;13.169;2;2.0;2.0
1521694737.515199;24;13.467;4;2.087;2.0
1521694737.5723038;25;13.389;4;2.083;2.0
1521694737.664932;26;13.315;4;2.08;2.0
1521694737.714103;27;13.569;4;2.16;2.0
1521694737.813452;28;13.497;4;2.154;2.0
1521694737.8717;29;13.719;4;2.231;2.0
1521694737.9064791;30;13.918;4;2.308;2.0
1521694737.9393;31;14.097;4;2.37;2.0
1521694738.0603552;32;14.024;4;2.357;2.0
1521694738.107614;33;14.186;4;2.414;2.0
1521694738.1450381;34;14.333;4;2.467;2.0
1521694738.18283;35;14.291;4;2.533;2.0
1521694738.229225;36;14.097;4;2.6;2.0
1521694738.275025;37;14.231;4;2.667;2.0
1521694738.325442;38;14.197;4;2.733;2.0
1521694738.35475;39;14.028;4;2.8;2.0
1521694738.399155;40;14.149;4;2.867;2.0
1521694738.45762;41;14.122;4;2.933;2.0
1521694738.4978518;42;14.232;4;2.968;2.0
1521694738.542038;43;14.336;4;3.0;3.0
1521694738.60331;44;14.189;4;3.03;4.0
1521694738.6426182;45;14.288;4;3.091;4.0
1521694738.693803;46;14.381;4;3.118;4.0
1521694738.723381;47;14.469;4;3.176;4.0
1521694738.768715;48;14.552;4;3.235;4.0
1521694738.820176;49;14.418;4;3.257;4.0
1521694738.874291;50;14.39;4;3.278;4.0
