#timestamp;nb_simulations;avg_children;max_depth;avg_depth;median_depth
1521681743.37994;1;20.37;2;2.0;2.0
1521681743.425232;2;24.444;2;2.0;2.0
1521681743.462513;3;22.222;2;2.0;2.0
1521681743.506973;4;20.635;2;2.0;2.0
1521681743.5480351;5;19.444;2;2.0;2.0
1521681743.590346;6;18.519;2;2.0;2.0
1521681743.6271622;7;17.778;2;2.0;2.0
1521681743.670298;8;17.172;2;2.0;2.0
1521681743.6980531;9;16.667;2;2.0;2.0
1521681743.73923;10;16.239;2;2.0;2.0
1521681743.7781298;11;15.873;2;2.0;2.0
1521681743.8100321;12;15.556;2;2.0;2.0
1521681743.841203;13;15.278;2;2.0;2.0
1521681743.8730612;14;15.033;2;2.0;2.0
1521681743.904136;15;14.815;2;2.0;2.0
1521681743.937873;16;14.62;2;2.0;2.0
1521681743.966296;17;14.444;2;2.0;2.0
1521681743.9997141;18;15.909;4;2.118;2.0
1521681744.038549;19;15.7;4;2.111;2.0
1521681744.066127;20;16.889;4;2.222;2.0
1521681744.102525;21;17.284;4;2.333;2.0
1521681744.130373;22;17.625;4;2.444;2.0
1521681744.1647182;23;18.459;4;2.556;2.0
1521681744.203243;24;19.192;4;2.667;2.0
1521681744.2686179;25;19.365;4;2.778;2.0
1521681744.3198779;26;19.52;4;2.889;2.0
1521681744.355972;27;19.658;4;2.947;2.0
1521681744.391986;28;19.783;4;3.053;4.0
1521681744.436786;29;20.284;4;3.1;4.0
1521681744.4804668;30;20.741;4;3.2;4.0
1521681744.5259352;31;21.158;4;3.238;4.0
1521681744.578288;32;21.542;4;3.273;4.0
1521681744.6237812;33;21.333;4;3.304;4.0
1521681744.656846;34;21.368;4;3.391;4.0
1521681744.695323;35;21.708;4;3.478;4.0
1521681744.7219021;36;21.726;4;3.5;4.0
1521681745.3202329;37;21.54;4;3.52;4.0
1521681745.335232;38;21.563;4;3.538;4.0
1521681745.3698628;39;21.858;4;3.615;4.0
1521681745.4067981;40;21.869;4;3.63;4.0
1521681745.441843;41;22.137;4;3.643;4.0
1521681745.474981;42;22.388;4;3.655;4.0
1521681745.5186949;43;22.222;4;3.667;4.0
1521681745.584553;44;22.222;4;3.733;4.0
1521681745.625074;45;22.222;4;3.8;4.0
1521681745.690803;46;22.447;4;3.806;4.0
1521681745.724088;47;22.442;4;3.812;4.0
1521681745.748053;48;22.294;4;3.818;4.0
1521681745.774347;49;22.151;4;3.824;4.0
1521681745.8127959;50;22.011;4;3.829;4.0
1521681745.859658;51;21.875;4;3.833;4.0
1521681745.904015;52;21.742;4;3.838;4.0
1521681745.945506;53;21.754;4;3.842;4.0
1521681746.011013;54;21.627;4;3.846;4.0
1521681746.054046;55;21.503;4;3.85;4.0
1521681746.103497;56;21.52;4;3.854;4.0
1521681746.143948;57;21.723;4;3.902;4.0
1521681746.18837;58;21.605;4;3.905;4.0
1521681746.2287;59;21.8;4;3.907;4.0
1521681746.2760751;60;21.809;4;3.909;4.0
1521681746.3192298;61;21.817;4;3.911;4.0
1521681746.353715;62;21.707;4;3.913;4.0
1521681746.389397;63;21.599;4;3.915;4.0
1521681746.428393;64;21.493;4;3.917;4.0
1521681746.466311;65;21.389;4;3.918;4.0
1521681746.504016;66;21.287;4;3.92;4.0
1521681746.549723;67;21.187;4;3.922;4.0
1521681746.586238;68;21.207;4;3.923;4.0
1521681746.6425788;69;21.111;4;3.925;4.0
1521681746.693363;70;21.017;4;3.926;4.0
1521681746.722215;71;21.039;4;3.927;4.0
1521681746.758482;72;20.948;4;3.929;4.0
1521681746.813015;73;20.859;4;3.93;4.0
1521681746.849025;74;20.883;4;3.931;4.0
1521681746.900705;75;20.796;4;3.932;4.0
1521681746.973664;76;20.712;4;3.933;4.0
1521681747.0149162;77;20.881;4;3.967;4.0
1521681747.0644429;78;20.798;4;3.967;4.0
1521681747.094367;79;20.716;4;3.968;4.0
1521681747.1450748;80;20.88;4;3.968;4.0
1521681747.1777458;81;20.799;4;3.969;4.0
1521681747.2274501;82;20.719;4;3.969;4.0
1521681747.263804;83;20.641;4;3.97;4.0
1521681747.318678;84;20.565;4;3.97;4.0
1521681747.364228;85;20.723;4;3.971;4.0
1521681747.411427;86;20.647;4;3.971;4.0
1521681747.455817;87;20.573;4;3.971;4.0
1521681747.499039;88;20.5;4;3.972;4.0
1521681747.5442612;89;20.427;4;3.972;4.0
1521681747.582925;90;20.356;4;3.973;4.0
1521681747.6130528;91;20.286;4;3.973;4.0
1521681747.641299;92;20.217;4;3.973;4.0
1521681747.674162;93;20.149;4;3.974;4.0
1521681747.7318919;94;20.082;4;3.974;4.0
1521681747.7668061;95;20.016;4;3.974;4.0
1521681747.798442;96;19.951;4;3.975;4.0
1521681747.8438048;97;19.887;4;3.975;4.0
1521681747.876035;98;19.824;4;3.975;4.0
1521681747.9206872;99;19.762;4;3.976;4.0
1521681747.966822;100;19.701;4;3.976;4.0
1521681748.018186;101;19.852;4;4.0;4.0
1521681748.053952;102;19.792;4;4.0;4.0
1521681748.093867;103;19.732;4;4.0;4.0
1521681748.1348538;104;19.673;4;4.0;4.0
1521681748.185458;105;19.707;4;4.0;4.0
1521681748.232097;106;19.65;4;4.0;4.0
1521681748.278173;107;19.593;4;4.0;4.0
1521681748.3384728;108;19.536;4;4.0;4.0
1521681748.375422;109;19.481;4;4.0;4.0
1521681748.417352;110;19.426;4;4.0;4.0
1521681748.4603388;111;19.372;4;4.0;4.0
1521681748.4959;112;19.319;4;4.0;4.0
1521681748.5328782;113;19.266;4;4.0;4.0
1521681748.592872;114;19.214;4;4.0;4.0
1521681748.6324549;115;19.163;4;4.0;4.0
1521681748.6677618;116;19.306;4;4.0;4.0
1521681748.725588;117;19.255;4;4.0;4.0
1521681748.7838871;118;19.204;4;4.0;4.0
1521681748.813493;119;19.155;4;4.0;4.0
1521681748.851069;120;19.106;4;4.0;4.0
1521681748.8832178;121;19.057;4;4.0;4.0
1521681748.953176;122;19.009;4;4.0;4.0
1521681748.978809;123;18.962;4;4.0;4.0
1521681749.0322602;124;18.915;4;4.0;4.0
1521681749.090692;125;18.869;4;4.0;4.0
1521681749.127328;126;18.824;4;4.0;4.0
1521681749.1641212;127;18.778;4;4.0;4.0
1521681749.194475;128;18.734;4;4.0;4.0
1521681749.230628;129;18.69;4;4.0;4.0
1521681749.269564;130;18.646;4;4.0;4.0
1521681749.300438;131;18.603;4;4.0;4.0
1521681749.332577;132;18.561;4;4.0;4.0
1521681749.357974;133;18.519;4;4.0;4.0
1521681749.391563;134;18.477;4;4.0;4.0
1521681749.427016;135;18.436;4;4.0;4.0
1521681749.459402;136;18.395;4;4.0;4.0
1521681749.483713;137;18.355;4;4.0;4.0
1521681749.517384;138;18.315;4;4.0;4.0
1521681749.550828;139;18.276;4;4.0;4.0
1521681749.5819678;140;18.237;4;4.0;4.0
1521681749.6167412;141;18.198;4;4.0;4.0
1521681749.633131;142;18.16;4;4.0;4.0
1521681749.661807;143;18.122;4;4.0;4.0
1521681749.698785;144;18.085;4;4.0;4.0
1521681749.729738;145;18.048;4;4.0;4.0
1521681749.77473;146;18.012;4;4.0;4.0
1521681749.8035882;147;17.976;4;4.0;4.0
1521681749.827067;148;17.94;4;4.0;4.0
1521681749.8635972;149;17.904;4;4.0;4.0
1521681749.8992178;150;17.869;4;4.0;4.0
1521681749.935219;151;17.835;4;4.0;4.0
1521681749.970468;152;17.8;4;4.0;4.0
1521681750.009141;153;17.766;4;4.0;4.0
1521681750.038338;154;17.733;4;4.0;4.0
1521681750.075265;155;17.7;4;4.0;4.0
1521681750.1046798;156;17.667;4;4.0;4.0
1521681750.140513;157;17.634;4;4.0;4.0
1521681750.170335;158;17.602;4;4.0;4.0
1521681750.201887;159;17.57;4;4.0;4.0
1521681750.239372;160;17.538;4;4.0;4.0
1521681750.266557;161;17.507;4;4.0;4.0
1521681750.310878;162;17.476;4;4.0;4.0
1521681750.3459158;163;17.445;4;4.0;4.0
1521681750.383428;164;17.415;4;4.0;4.0
1521681750.421046;165;17.384;4;4.0;4.0
1521681750.456162;166;17.354;4;4.0;4.0
1521681750.4898932;167;17.325;4;4.0;4.0
1521681750.524478;168;17.296;4;4.0;4.0
1521681750.566221;169;17.267;4;4.0;4.0
1521681750.592302;170;17.238;4;4.0;4.0
1521681750.647112;171;17.209;4;4.0;4.0
1521681750.6754491;172;17.181;4;4.0;4.0
1521681750.711731;173;17.153;4;4.0;4.0
1521681750.7553;174;17.125;4;4.0;4.0
1521681750.7851331;175;17.098;4;4.0;4.0
1521681750.8190038;176;17.071;4;4.0;4.0
1521681750.891705;177;17.044;4;4.0;4.0
1521681750.92526;178;17.017;4;4.0;4.0
1521681750.965892;179;16.991;4;4.0;4.0
1521681751.01266;180;16.964;4;4.0;4.0
1521681751.05716;181;16.938;4;4.0;4.0
1521681751.0830238;182;16.985;4;4.0;4.0
1521681751.1295319;183;16.959;4;4.0;4.0
1521681751.17452;184;16.934;4;4.0;4.0
1521681751.206939;185;16.908;4;4.0;4.0
1521681751.247452;186;16.883;4;4.0;4.0
1521681751.2820039;187;16.858;4;4.0;4.0
1521681751.3229911;188;16.834;4;4.0;4.0
1521681751.36142;189;16.809;4;4.0;4.0
1521681751.397011;190;16.785;4;4.0;4.0
1521681751.4403489;191;16.761;4;4.0;4.0
1521681751.4715;192;16.737;4;4.0;4.0
1521681751.5015411;193;16.713;4;4.0;4.0
1521681751.567109;194;16.69;4;4.0;4.0
1521681751.612341;195;16.667;4;4.0;4.0
1521681751.652736;196;16.781;6;4.011;4.0
1521681751.6979609;197;16.758;6;4.011;4.0
1521681751.735015;198;16.735;6;4.011;4.0
1521681751.778656;199;16.712;6;4.011;4.0
1521681751.810656;200;16.689;6;4.011;4.0
1521681751.8442729;201;16.667;6;4.011;4.0
1521681751.900542;202;16.644;6;4.011;4.0
1521681751.9315772;203;16.622;6;4.011;4.0
1521681751.966008;204;16.6;6;4.011;4.0
1521681751.995852;205;16.578;6;4.011;4.0
1521681752.045523;206;16.556;6;4.011;4.0
1521681752.099048;207;16.535;6;4.011;4.0
1521681752.138879;208;16.514;6;4.011;4.0
1521681752.178879;209;16.492;6;4.011;4.0
1521681752.220308;210;16.471;6;4.01;4.0
1521681752.258825;211;16.45;6;4.01;4.0
1521681752.286043;212;16.43;6;4.01;4.0
1521681752.328135;213;16.409;6;4.01;4.0
1521681752.355071;214;16.389;6;4.01;4.0
1521681752.385885;215;16.497;6;4.021;4.0
1521681752.463928;216;16.477;6;4.02;4.0
1521681752.4962912;217;16.456;6;4.02;4.0
1521681752.529441;218;16.436;6;4.02;4.0
1521681752.5715342;219;16.416;6;4.02;4.0
1521681752.6045928;220;16.396;6;4.02;4.0
1521681752.635381;221;16.376;6;4.02;4.0
1521681752.673747;222;16.357;6;4.02;4.0
1521681752.741196;223;16.337;6;4.02;4.0
1521681752.7745569;224;16.318;6;4.02;4.0
1521681752.7977989;225;16.299;6;4.02;4.0
1521681752.8329659;226;16.28;6;4.019;4.0
1521681752.874828;227;16.261;6;4.019;4.0
1521681752.9075031;228;16.242;6;4.019;4.0
1521681752.9408169;229;16.224;6;4.019;4.0
1521681752.9795961;230;16.205;6;4.019;4.0
1521681753.014286;231;16.187;6;4.019;4.0
1521681753.04387;232;16.169;6;4.019;4.0
1521681753.0730271;233;16.151;6;4.019;4.0
1521681753.0982301;234;16.133;6;4.019;4.0
1521681753.132673;235;16.115;6;4.019;4.0
1521681753.169923;236;16.158;6;4.028;4.0
1521681753.199598;237;16.14;6;4.028;4.0
1521681753.227747;238;16.123;6;4.028;4.0
1521681753.2675421;239;16.105;6;4.028;4.0
