#timestamp;nb_simulations;avg_children;max_depth;avg_depth;median_depth
1521680184.2482429;1;14.444;2;2.0;2.0
1521680184.285999;2;17.333;2;2.0;2.0
1521680184.3233669;3;18.571;2;2.0;2.0
1521680184.352389;4;17.5;2;2.0;2.0
1521680184.387274;5;16.667;2;2.0;2.0
1521680184.417162;6;16.0;2;2.0;2.0
1521680184.471097;7;15.455;2;2.0;2.0
1521680184.5202692;8;15.0;2;2.0;2.0
1521680184.552493;9;14.615;2;2.0;2.0
1521680184.591381;10;14.286;2;2.0;2.0
1521680184.6120808;11;14.0;2;2.0;2.0
1521680184.6682081;12;13.75;2;2.0;2.0
1521680184.713467;13;13.529;2;2.0;2.0
1521680184.7656069;14;13.333;2;2.0;2.0
1521680184.816458;15;13.158;2;2.0;2.0
1521680184.872593;16;13.0;2;2.0;2.0
1521680184.898913;17;12.857;2;2.0;2.0
1521680184.9529889;18;12.727;2;2.0;2.0
1521680184.996475;19;12.609;2;2.0;2.0
1521680185.048652;20;12.5;2;2.0;2.0
1521680185.1142871;21;12.4;2;2.0;2.0
1521680185.148663;22;12.308;2;2.0;2.0
1521680185.187802;23;12.222;2;2.0;2.0
1521680185.2359328;24;12.143;2;2.0;2.0
1521680185.280745;25;12.069;2;2.0;2.0
1521680185.294624;26;12.0;2;2.0;2.0
1521680185.337735;27;11.935;2;2.0;2.0
1521680185.371129;28;11.875;2;2.0;2.0
1521680185.405078;29;11.818;2;2.0;2.0
1521680185.427799;30;12.175;4;2.069;2.0
1521680185.47348;31;12.114;4;2.067;2.0
1521680185.5071309;32;13.085;4;2.133;2.0
1521680185.537428;33;13.333;4;2.2;2.0
1521680185.5643709;34;14.153;4;2.267;2.0
1521680185.579645;35;14.899;4;2.333;2.0
1521680185.6009312;36;15.58;4;2.4;2.0
1521680185.625963;37;15.683;4;2.452;2.0
1521680185.650023;38;15.778;4;2.516;2.0
1521680185.6840708;39;16.346;4;2.581;2.0
1521680185.711622;40;16.872;4;2.645;2.0
1521680185.732011;41;17.361;4;2.71;2.0
1521680185.7659829;42;17.816;4;2.774;2.0
1521680185.8053272;43;18.241;4;2.812;2.0
1521680185.8304188;44;18.369;4;2.875;2.0
1521680185.863428;45;18.359;4;2.938;2.0
1521680185.890485;46;18.729;4;3.0;3.0
1521680185.919947;47;18.832;4;3.03;4.0
1521680185.960632;48;18.81;4;3.091;4.0
1521680185.982466;49;18.789;4;3.118;4.0
1521680186.019979;50;18.769;4;3.143;4.0
1521680186.0364318;51;18.75;4;3.2;4.0
1521680186.066796;52;18.732;4;3.222;4.0
1521680186.1034229;53;19.028;4;3.278;4.0
1521680186.133914;54;19.309;4;3.333;4.0
1521680186.1666949;55;19.279;4;3.351;4.0
1521680186.1906948;56;19.541;4;3.368;4.0
1521680186.198946;57;19.792;4;3.421;4.0
1521680186.2163641;58;20.031;4;3.436;4.0
1521680186.245879;59;20.26;4;3.487;4.0
1521680186.2726772;60;20.213;4;3.5;4.0
1521680186.2974489;61;20.168;4;3.512;4.0
1521680186.321679;62;20.125;4;3.524;4.0
1521680186.345671;63;20.333;4;3.571;4.0
1521680186.3796532;64;20.534;4;3.581;4.0
1521680186.404903;65;20.726;4;3.591;4.0
1521680186.430869;66;20.912;4;3.6;4.0
1521680186.4612422;67;20.859;4;3.609;4.0
1521680186.490017;68;20.77;4;3.617;4.0
1521680186.512206;69;20.946;4;3.625;4.0
1521680186.538709;70;21.116;4;3.667;4.0
1521680186.567209;71;21.063;4;3.708;4.0
1521680186.609707;72;21.011;4;3.714;4.0
1521680186.6370718;73;21.172;4;3.755;4.0
1521680186.674588;74;21.088;4;3.76;4.0
1521680186.70943;75;21.243;4;3.765;4.0
1521680186.764044;76;21.192;4;3.769;4.0
1521680186.7926059;77;21.34;4;3.774;4.0
1521680186.8328562;78;21.289;4;3.778;4.0
1521680186.86921;79;21.21;4;3.782;4.0
1521680186.914763;80;21.353;4;3.786;4.0
1521680186.962872;81;21.491;4;3.789;4.0
1521680186.9916108;82;21.44;4;3.793;4.0
1521680187.036972;83;21.391;4;3.828;4.0
1521680187.0813088;84;21.316;4;3.831;4.0
1521680187.115456;85;21.243;4;3.833;4.0
1521680187.148494;86;21.171;4;3.836;4.0
1521680187.1808069;87;21.127;4;3.839;4.0
1521680187.2303061;88;21.057;4;3.841;4.0
1521680187.257472;89;20.988;4;3.844;4.0
1521680187.269705;90;20.947;4;3.846;4.0
1521680187.305527;91;20.881;4;3.848;4.0
1521680187.337695;92;21.01;4;3.879;4.0
1521680187.3635042;93;21.026;4;3.909;4.0
1521680187.388848;94;20.988;4;3.91;4.0
1521680187.408793;95;21.111;4;3.912;4.0
1521680187.444742;96;21.231;4;3.913;4.0
1521680187.471134;97;21.167;4;3.914;4.0
1521680187.522874;98;21.181;4;3.915;4.0
