#timestamp;nb_simulations;avg_children;max_depth;avg_depth;median_depth
1521680638.465726;1;20.0;2;2.0;2.0
1521680638.511939;2;24.0;2;2.0;2.0
1521680638.5487301;3;21.667;2;2.0;2.0
1521680638.5936708;4;20.0;2;2.0;2.0
1521680638.6473742;5;18.75;2;2.0;2.0
1521680638.71101;6;17.778;2;2.0;2.0
1521680638.768848;7;17.0;2;2.0;2.0
1521680638.815392;8;16.364;2;2.0;2.0
1521680638.849973;9;15.833;2;2.0;2.0
1521680638.886315;10;15.385;2;2.0;2.0
1521680638.917418;11;15.0;2;2.0;2.0
1521680638.956626;12;14.667;2;2.0;2.0
1521680638.9908779;13;14.375;2;2.0;2.0
1521680639.015255;14;14.118;2;2.0;2.0
1521680639.0338292;15;13.889;2;2.0;2.0
1521680639.071767;16;13.684;2;2.0;2.0
1521680639.1302779;17;13.5;2;2.0;2.0
1521680639.1619542;18;13.333;2;2.0;2.0
1521680639.195265;19;13.182;2;2.0;2.0
1521680639.235776;20;14.63;4;2.105;2.0
1521680639.2643871;21;14.444;4;2.1;2.0
1521680639.297066;22;15.638;4;2.2;2.0
1521680639.337645;23;16.092;4;2.3;2.0
1521680639.382635;24;16.487;4;2.4;2.0
1521680639.415039;25;17.34;4;2.5;2.0
1521680639.441962;26;17.619;4;2.6;2.0
1521680639.4672341;27;18.318;4;2.7;2.0
1521680639.4973629;28;18.946;4;2.762;2.0
1521680639.524949;29;19.512;4;2.857;2.0
1521680639.5587509;30;20.026;4;2.952;2.0
1521680639.5998862;31;19.823;4;3.0;3.0
1521680639.629171;32;19.928;4;3.043;4.0
1521680639.66434;33;20.37;4;3.13;4.0
1521680639.693066;34;20.778;4;3.167;4.0
1521680639.720974;35;21.154;4;3.2;4.0
1521680639.751921;36;21.193;4;3.231;4.0
1521680639.778668;37;21.01;4;3.259;4.0
1521680639.818187;38;20.833;4;3.286;4.0
1521680639.850711;39;21.169;4;3.357;4.0
1521680639.8871639;40;21.204;4;3.429;4.0
1521680639.918866;41;21.237;4;3.5;4.0
1521680639.9542952;42;21.267;4;3.517;4.0
1521680639.979052;43;21.296;4;3.586;4.0
1521680640.009233;44;21.144;4;3.6;4.0
1521680640.045512;45;20.997;4;3.613;4.0
1521680640.0862699;46;21.032;4;3.625;4.0
1521680640.1470542;47;21.296;4;3.636;4.0
1521680640.18415;48;21.157;4;3.647;4.0
1521680640.208103;49;21.185;4;3.657;4.0
1521680640.238977;50;21.429;4;3.714;4.0
1521680640.275894;51;21.66;4;3.722;4.0
1521680640.319807;52;21.528;4;3.73;4.0
1521680640.342305;53;21.545;4;3.737;4.0
1521680640.372907;54;21.419;4;3.744;4.0
1521680640.4094;55;21.296;4;3.75;4.0
1521680640.446381;56;21.318;4;3.756;4.0
1521680640.4876502;57;21.338;4;3.762;4.0
1521680640.524263;58;21.223;4;3.767;4.0
1521680640.555696;59;21.111;4;3.773;4.0
1521680640.6097999;60;21.316;4;3.778;4.0
1521680640.639555;61;21.336;4;3.783;4.0
1521680640.677702;62;21.228;4;3.787;4.0
1521680640.719851;63;21.42;4;3.83;4.0
1521680640.750413;64;21.605;4;3.833;4.0
1521680640.780532;65;21.782;4;3.837;4.0
1521680640.806241;66;21.678;4;3.84;4.0
1521680640.83977;67;21.575;4;3.843;4.0
1521680640.871574;68;21.746;4;3.882;4.0
1521680640.903581;69;21.646;4;3.885;4.0
1521680640.927249;70;21.547;4;3.887;4.0
1521680640.965577;71;21.451;4;3.889;4.0
1521680641.0003479;72;21.356;4;3.891;4.0
1521680641.0241501;73;21.263;4;3.893;4.0
1521680641.054513;74;21.171;4;3.895;4.0
