#timestamp;nb_simulations;avg_children;max_depth;avg_depth;median_depth
1521679845.4810581;1;14.815;2;2.0;2.0
1521679845.543908;2;17.778;2;2.0;2.0
1521679845.624285;3;19.048;2;2.0;2.0
1521679845.686652;4;18.056;2;2.0;2.0
1521679845.747264;5;17.284;2;2.0;2.0
1521679845.801049;6;16.667;2;2.0;2.0
1521679845.8795352;7;16.162;2;2.0;2.0
1521679845.9755032;8;15.741;2;2.0;2.0
1521679846.0662599;9;15.385;2;2.0;2.0
1521679846.141898;10;15.079;2;2.0;2.0
1521679846.223258;11;14.815;2;2.0;2.0
1521679846.2841449;12;14.583;2;2.0;2.0
1521679846.345016;13;14.379;2;2.0;2.0
1521679846.406755;14;14.198;2;2.0;2.0
1521679846.466222;15;14.035;2;2.0;2.0
1521679846.5181398;16;13.889;2;2.0;2.0
1521679846.5831392;17;13.757;2;2.0;2.0
1521679846.6701171;18;13.636;2;2.0;2.0
1521679846.738189;19;13.527;2;2.0;2.0
1521679846.809319;20;13.426;2;2.0;2.0
1521679846.90111;21;13.333;2;2.0;2.0
1521679846.987437;22;13.248;2;2.0;2.0
1521679847.0458088;23;13.169;2;2.0;2.0
1521679847.0960698;24;13.095;2;2.0;2.0
1521679847.182616;25;13.027;2;2.0;2.0
1521679847.276413;26;12.963;2;2.0;2.0
1521679847.3642838;27;12.903;2;2.0;2.0
1521679847.399483;28;13.215;4;2.074;2.0
1521679847.44495;29;13.492;4;2.148;2.0
1521679847.484521;30;14.414;4;2.222;2.0
1521679847.520742;31;15.242;4;2.296;2.0
1521679847.584115;32;15.989;4;2.37;2.0
1521679847.631061;33;16.667;4;2.444;2.0
1521679847.6655118;34;17.284;4;2.5;2.0
1521679847.6994119;35;17.317;4;2.552;2.0
1521679847.757036;36;17.347;4;2.621;2.0
1521679847.795125;37;17.865;4;2.69;2.0
1521679847.847469;38;17.872;4;2.759;2.0
1521679847.885082;39;17.879;4;2.8;2.0
1521679847.9354181;40;18.324;4;2.867;2.0
1521679847.9775412;41;18.738;4;2.933;2.0
1521679848.011969;42;19.126;4;2.968;2.0
1521679848.0594912;43;19.489;4;3.032;4.0
1521679848.109411;44;19.829;4;3.097;4.0
1521679848.1513522;45;20.149;4;3.161;4.0
1521679848.182875;46;20.451;4;3.226;4.0
1521679848.221749;47;20.736;4;3.29;4.0
1521679848.25282;48;21.005;4;3.312;4.0
1521679848.302948;49;20.926;4;3.333;4.0
1521679848.35298;50;20.851;4;3.353;4.0
1521679848.407722;51;20.726;4;3.371;4.0
1521679848.440183;52;20.972;4;3.389;4.0
1521679848.483551;53;21.206;4;3.405;4.0
1521679848.49504;54;21.429;4;3.459;4.0
1521679848.5357518;55;21.641;4;3.514;4.0
1521679848.577476;56;21.843;4;3.568;4.0
1521679848.623907;57;21.759;4;3.579;4.0
1521679848.66097;58;21.679;4;3.59;4.0
1521679848.692033;59;21.868;4;3.6;4.0
1521679848.750274;60;21.788;4;3.61;4.0
1521679848.819952;61;21.712;4;3.619;4.0
1521679848.8668401;62;21.639;4;3.628;4.0
1521679848.911371;63;21.535;4;3.636;4.0
1521679848.94819;64;21.467;4;3.644;4.0
1521679848.983563;65;21.64;4;3.652;4.0
1521679849.014797;66;21.807;4;3.66;4.0
1521679849.0458019;67;21.738;4;3.667;4.0
1521679849.0862432;68;21.897;4;3.673;4.0
1521679849.1245282;69;21.829;4;3.714;4.0
1521679849.1738071;70;21.981;4;3.72;4.0
1521679849.219143;71;22.127;4;3.725;4.0
1521679849.271349;72;22.269;4;3.765;4.0
1521679849.344401;73;22.176;4;3.769;4.0
1521679849.392309;74;22.108;4;3.774;4.0
1521679849.427228;75;22.043;4;3.811;4.0
1521679849.461994;76;21.98;4;3.815;4.0
1521679849.5312681;77;21.894;4;3.818;4.0
1521679849.579577;78;21.81;4;3.821;4.0
1521679849.6652002;79;21.727;4;3.825;4.0
1521679849.7162051;80;21.862;4;3.828;4.0
1521679849.7831109;81;21.78;4;3.831;4.0
1521679849.8229928;82;21.911;4;3.833;4.0
1521679849.872725;83;21.831;4;3.836;4.0
